Patient_ID	Gene	Value	Hypermethylated
TCGA-AR-A2LJ	AKT1	0.0138	FALSE
TCGA-AR-A2LK	AKT1	0.01525	FALSE
TCGA-AR-A2LL	AKT1	0.0133	FALSE
TCGA-AR-A2LM	AKT1	0.0155	FALSE
TCGA-AR-A2LN	AKT1	0.0202	FALSE
TCGA-AR-A2LO	AKT1	0.0166	FALSE
TCGA-AR-A2LQ	AKT1	0.01845	FALSE
TCGA-AR-A2LR	AKT1	0.02065	FALSE
TCGA-AR-A5QM	AKT1	0.0177	FALSE
TCGA-AR-A5QN	AKT1	0.01365	FALSE
TCGA-AR-A5QP	AKT1	0.0171	FALSE
TCGA-AR-A5QQ	AKT1	0.018099999999999998	FALSE
TCGA-B6-A0I1	AKT1	0.0143	FALSE
TCGA-B6-A0IK	AKT1	0.01145	FALSE
TCGA-B6-A0RE	AKT1	0.00995	FALSE
TCGA-B6-A0RG	AKT1	0.0129	FALSE
TCGA-B6-A0RI	AKT1	0.0127	FALSE
TCGA-B6-A0RL	AKT1	0.013850000000000001	FALSE
TCGA-B6-A0RM	AKT1	0.0134	FALSE
TCGA-B6-A0RN	AKT1	0.014249999999999999	FALSE
TCGA-B6-A0RO	AKT1	0.01405	FALSE
TCGA-B6-A0RP	AKT1	0.0148	FALSE
TCGA-B6-A0RS	AKT1	0.01715	FALSE
TCGA-B6-A0RT	AKT1	0.0152	FALSE
TCGA-B6-A0RU	AKT1	0.01715	FALSE
TCGA-B6-A0RV	AKT1	0.0149	FALSE
TCGA-B6-A0WT	AKT1	0.0139	FALSE
TCGA-B6-A0WV	AKT1	0.0134	FALSE
TCGA-B6-A0WW	AKT1	0.012750000000000001	FALSE
TCGA-B6-A0WX	AKT1	0.014849999999999999	FALSE
TCGA-B6-A0WY	AKT1	0.0131	FALSE
TCGA-B6-A0WZ	AKT1	0.012299999999999998	FALSE
TCGA-B6-A0X1	AKT1	0.01635	FALSE
TCGA-B6-A0X4	AKT1	0.01395	FALSE
TCGA-B6-A0X5	AKT1	0.012	FALSE
TCGA-B6-A0X7	AKT1	0.01455	FALSE
TCGA-B6-A1KC	AKT1	0.016825	FALSE
TCGA-B6-A1KF	AKT1	0.01765	FALSE
TCGA-B6-A1KI	AKT1	0.0155	FALSE
TCGA-B6-A1KN	AKT1	0.015349999999999999	FALSE
TCGA-B6-A2IU	AKT1	0.01825	FALSE
TCGA-B6-A3ZX	AKT1	0.015099999999999999	FALSE
TCGA-B6-A400	AKT1	0.01795	FALSE
TCGA-B6-A401	AKT1	0.0147	FALSE
TCGA-B6-A402	AKT1	0.01595	FALSE
TCGA-B6-A408	AKT1	0.01575	FALSE
TCGA-B6-A409	AKT1	0.01625	FALSE
TCGA-B6-A40B	AKT1	0.013649999999999999	FALSE
TCGA-B6-A40C	AKT1	0.016050000000000002	FALSE
TCGA-BH-A0AU	AKT1	0.0144	FALSE
TCGA-BH-A0AW	AKT1	0.0199	FALSE
TCGA-BH-A0AY	AKT1	0.014499999999999999	FALSE
TCGA-BH-A0AZ	AKT1	0.01485	FALSE
TCGA-BH-A0B2	AKT1	0.015025	FALSE
TCGA-BH-A0B3	AKT1	0.011875	FALSE
TCGA-BH-A0B5	AKT1	0.01515	FALSE
TCGA-BH-A0B6	AKT1	0.01525	FALSE
TCGA-BH-A0B8	AKT1	0.014525	FALSE
TCGA-BH-A0B9	AKT1	0.0187	FALSE
TCGA-BH-A0BA	AKT1	0.01495	FALSE
TCGA-BH-A0BC	AKT1	0.015125	FALSE
TCGA-BH-A0BF	AKT1	0.016175000000000002	FALSE
TCGA-BH-A0BJ	AKT1	0.015099999999999999	FALSE
TCGA-BH-A0BM	AKT1	0.0139	FALSE
TCGA-BH-A0BS	AKT1	0.015050000000000001	FALSE
TCGA-BH-A0BT	AKT1	0.015775	FALSE
TCGA-BH-A0BV	AKT1	0.01285	FALSE
TCGA-BH-A0BZ	AKT1	0.016550000000000002	FALSE
TCGA-BH-A0C0	AKT1	0.0137	FALSE
TCGA-BH-A0C3	AKT1	0.016675	FALSE
TCGA-BH-A0DD	AKT1	0.02225	FALSE
TCGA-BH-A0DG	AKT1	0.01385	FALSE
TCGA-BH-A0DH	AKT1	0.012875	FALSE
TCGA-BH-A0DI	AKT1	0.014675	FALSE
TCGA-BH-A0DK	AKT1	0.013625	FALSE
TCGA-BH-A0DP	AKT1	0.013725	FALSE
TCGA-BH-A0DQ	AKT1	0.013725	FALSE
TCGA-BH-A0DS	AKT1	0.011300000000000001	FALSE
TCGA-BH-A0DV	AKT1	0.01865	FALSE
TCGA-BH-A0DZ	AKT1	0.01245	FALSE
TCGA-BH-A0E0	AKT1	0.013375	FALSE
TCGA-BH-A0E1	AKT1	0.0127	FALSE
TCGA-BH-A0E2	AKT1	0.01095	FALSE
TCGA-BH-A0GY	AKT1	0.013049999999999999	FALSE
TCGA-BH-A0GZ	AKT1	0.0119	FALSE
TCGA-BH-A0H0	AKT1	0.01525	FALSE
TCGA-BH-A0H3	AKT1	0.014700000000000001	FALSE
TCGA-BH-A0H6	AKT1	0.01235	FALSE
TCGA-BH-A0H7	AKT1	0.014175	FALSE
TCGA-BH-A0H9	AKT1	0.014425	FALSE
TCGA-BH-A0HA	AKT1	0.01575	FALSE
TCGA-BH-A0HB	AKT1	0.0139	FALSE
TCGA-BH-A0HF	AKT1	0.0131	FALSE
TCGA-BH-A0HI	AKT1	0.0132	FALSE
TCGA-BH-A0HK	AKT1	0.015399999999999999	FALSE
TCGA-BH-A0HN	AKT1	0.013049999999999999	FALSE
TCGA-BH-A0HP	AKT1	0.017	FALSE
TCGA-BH-A0HX	AKT1	0.01465	FALSE
